"Estimated.HIV.Prevalence.....Ages.15.49.","year","Percentage 15-45"
"8","Angola","X1979",0.026527865
"11","Argentina","X1979",0.02050798
"17","Bahamas","X1979",0.01
"20","Barbados","X1979",0.02767648
"29","Botswana","X1979",0.105976053
"30","Brazil","X1979",0.09447913
"34","Burkina Faso","X1979",0.01
"35","Burundi","X1979",0.015913875
"38","Canada","X1979",0.012998487
"41","Central African Republic","X1979",0.113034777
"42","Chad","X1979",0.039876698
"51","Congo, Rep.","X1979",0.01
"62","Dominican Republic","X1979",0.056691281
"64","Ecuador","X1979",0.013690696
"67","Equatorial Guinea","X1979",0.082364934
"79","Gabon","X1979",0.042124436
"85","Greece","X1979",0.018909064
"92","Guinea","X1979",0.015019429
"94","Guyana","X1979",0.030135016
"95","Haiti","X1979",0.155026457
"97","Honduras","X1979",0.01
"100","Iceland","X1979",0.012373161
"107","Israel","X1979",0.012167647
"108","Italy","X1979",0.01
"109","Jamaica","X1979",0.014488867
"114","Kenya","X1979",0.07
"124","Lebanon","X1979",0.012167647
"126","Liberia","X1979",0.01185026
"130","Luxembourg","X1979",0.013690696
"144","Mexico","X1979",0.03122474
"152","Mozambique","X1979",0.075681075
"154","Namibia","X1979",0.016749108
"164","Nigeria","X1979",0.037979687
"173","Panama","X1979",0.046410768
"176","Peru","X1979",0.010679312
"180","Portugal","X1979",0.02050798
"186","Rwanda","X1979",0.01
"212","Spain","X1979",0.01
"214","Sudan","X1979",0.062390639
"223","Tanzania","X1979",0.01
"226","Togo","X1979",0.009898522
"236","Uganda","X1979",0.01
"240","United States","X1979",0.031764078
"241","Uruguay","X1979",0.009697302
"256","Zambia","X1979",0.01
"257","Zimbabwe","X1979",0.01
"260","Cote dIvoire","X1979",0.123178372
"297","Cameroon","X1980",0.012524627
"394","Malawi","X1980",0.015321148
"475","Suriname","X1980",0.011931256
"535","Austria","X1981",0.010187591
"596","France","X1981",0.015708255
"613","Guinea-Bissau","X1981",0.009823591
"718","Senegal","X1981",0.00952155
"730","South Africa","X1981",0.014208589
"802","Belgium","X1982",0.014146531
"839","Denmark","X1982",0.011698226
"862","Germany","X1982",0.022875823
"885","Ireland","X1982",0.015104416
"917","Mali","X1982",0.012575162
"937","Netherlands","X1982",0.010807512
"997","Swaziland","X1982",0.01097002
"1010","Trinidad and Tobago","X1982",0.010653031
"1054","Australia","X1983",0.012682938
"1100","Djibouti","X1983",0.012392677
"1115","Finland","X1983",0.010557622
"1203","Niger","X1983",0.011430135
"1209","Norway","X1983",0.014449506
"1215","Paraguay","X1983",0.00974306
"1258","Sweden","X1983",0.019136463
"1279","United Kingdom","X1983",0.019257422
"1324","Benin","X1984",0.011875633
"1348","Colombia","X1984",0.012153094
"1425","Lesotho","X1984",0.011079346
"1596","Cambodia","X1985",0.01
"1604","Chile","X1985",0.009688619
"1626","El Salvador","X1985",0.012269586
"1628","Eritrea","X1985",0.010873503
"1713","Myanmar","X1985",0.01
"1716","Nepal","X1985",0.01
"1759","Serbia","X1985",0.01
"1763","Sierra Leone","X1985",0.011022285
"1779","Switzerland","X1985",0.054022769
"1784","Thailand","X1985",0.01
"1980","New Zealand","X1986",0.01137169
"1982","Nicaragua","X1986",0.00951034
"2215","Malaysia","X1987",0.010175238
"2254","Papua New Guinea","X1987",0.010175238
"2288","Somalia","X1987",0.010400419
"2865","Algeria","X1990",0.06
"2868","Angola","X1990",0.5
"2871","Argentina","X1990",0.3
"2872","Armenia","X1990",0.06
"2874","Australia","X1990",0.1
"2875","Austria","X1990",0.06
"2876","Azerbaijan","X1990",0.06
"2877","Bahamas","X1990",3.6
"2879","Bangladesh","X1990",0.06
"2880","Barbados","X1990",0.06
"2881","Belarus","X1990",0.06
"2882","Belgium","X1990",0.06
"2883","Belize","X1990",0.5
"2884","Benin","X1990",0.2
"2886","Bhutan","X1990",0.06
"2887","Bolivia","X1990",0.1
"2889","Botswana","X1990",3.5
"2890","Brazil","X1990",0.45
"2893","Bulgaria","X1990",0.06
"2894","Burkina Faso","X1990",3.9
"2895","Burundi","X1990",3.9
"2896","Cambodia","X1990",0.5
"2897","Cameroon","X1990",0.6
"2898","Canada","X1990",0.1
"2901","Central African Republic","X1990",3.1
"2902","Chad","X1990",1.1
"2904","Chile","X1990",0.06
"2908","Colombia","X1990",0.2
"2909","Comoros","X1990",0.06
"2911","Congo, Rep.","X1990",5.2
"2913","Costa Rica","X1990",0.06
"2914","Croatia","X1990",0.06
"2915","Cuba","X1990",0.06
"2917","Czech Republic","X1990",0.06
"2919","Denmark","X1990",0.06
"2920","Djibouti","X1990",0.9
"2922","Dominican Republic","X1990",0.4
"2924","Ecuador","X1990",0.3
"2925","Egypt","X1990",0.06
"2926","El Salvador","X1990",0.1
"2927","Equatorial Guinea","X1990",0.1
"2928","Eritrea","X1990",0.3
"2930","Estonia","X1990",0.06
"2934","Fiji","X1990",0.06
"2935","Finland","X1990",0.06
"2936","France","X1990",0.3
"2939","Gabon","X1990",0.9
"2940","Gambia","X1990",0.1
"2941","Georgia","X1990",0.06
"2942","Germany","X1990",0.1
"2943","Ghana","X1990",0.3
"2945","Greece","X1990",0.1
"2950","Guatemala","X1990",0.1
"2952","Guinea","X1990",1.1
"2953","Guinea-Bissau","X1990",0.3
"2954","Guyana","X1990",2.8
"2955","Haiti","X1990",1.3
"2957","Honduras","X1990",1.1
"2959","Hungary","X1990",0.1
"2960","Iceland","X1990",0.06
"2961","India","X1990",0.1
"2962","Indonesia","X1990",0.06
"2963","Iran","X1990",0.06
"2965","Ireland","X1990",0.06
"2967","Israel","X1990",0.06
"2968","Italy","X1990",0.3
"2969","Jamaica","X1990",2.1
"2970","Japan","X1990",0.06
"2973","Kazakhstan","X1990",0.06
"2974","Kenya","X1990",3.9
"2977","South Korea","X1990",0.06
"2981","Kyrgyz Republic","X1990",0.06
"2982","Lao","X1990",0.06
"2983","Latvia","X1990",0.06
"2984","Lebanon","X1990",0.06
"2985","Lesotho","X1990",0.8
"2986","Liberia","X1990",0.3
"2989","Lithuania","X1990",0.06
"2990","Luxembourg","X1990",0.1
"2993","Madagascar","X1990",0.2
"2994","Malawi","X1990",7.2
"2995","Malaysia","X1990",0.1
"2996","Maldives","X1990",0.06
"2997","Mali","X1990",0.4
"2998","Malta","X1990",0.06
"3001","Mauritania","X1990",0.2
"3002","Mauritius","X1990",0.06
"3004","Mexico","X1990",0.4
"3006","Moldova","X1990",0.06
"3008","Mongolia","X1990",0.06
"3011","Morocco","X1990",0.06
"3012","Mozambique","X1990",1.2
"3013","Myanmar","X1990",0.2
"3014","Namibia","X1990",1.6
"3016","Nepal","X1990",0.2
"3017","Netherlands","X1990",0.1
"3020","New Zealand","X1990",0.1
"3022","Nicaragua","X1990",0.06
"3023","Niger","X1990",0.1
"3024","Nigeria","X1990",1.3
"3029","Norway","X1990",0.06
"3030","Oman","X1990",0.06
"3031","Pakistan","X1990",0.06
"3033","Panama","X1990",0.2
"3034","Papua New Guinea","X1990",0.06
"3035","Paraguay","X1990",0.06
"3036","Peru","X1990",0.4
"3037","Philippines","X1990",0.06
"3039","Poland","X1990",0.06
"3040","Portugal","X1990",0.1
"3042","Qatar","X1990",0.06
"3044","Romania","X1990",0.06
"3045","Russia","X1990",0.06
"3046","Rwanda","X1990",5.2
"3058","Senegal","X1990",0.2
"3059","Serbia","X1990",0.1
"3063","Sierra Leone","X1990",0.06
"3064","Singapore","X1990",0.06
"3065","Slovak Republic","X1990",0.06
"3066","Slovenia","X1990",0.06
"3068","Somalia","X1990",0.1
"3070","South Africa","X1990",0.7
"3072","Spain","X1990",0.4
"3073","Sri Lanka","X1990",0.06
"3074","Sudan","X1990",0.1
"3075","Suriname","X1990",0.1
"3077","Swaziland","X1990",2.3
"3078","Sweden","X1990",0.1
"3079","Switzerland","X1990",0.2
"3082","Tajikistan","X1990",0.06
"3083","Tanzania","X1990",4.8
"3084","Thailand","X1990",1
"3086","Togo","X1990",0.6
"3090","Trinidad and Tobago","X1990",0.2
"3091","Tunisia","X1990",0.06
"3092","Turkey","X1990",0.06
"3096","Uganda","X1990",10.2
"3097","Ukraine","X1990",0.1
"3099","United Kingdom","X1990",0.1
"3100","United States","X1990",0.5
"3101","Uruguay","X1990",0.1
"3103","Uzbekistan","X1990",0.06
"3110","Vietnam","X1990",0.06
"3116","Zambia","X1990",12.7
"3117","Zimbabwe","X1990",10.1
"3120","Cote dIvoire","X1990",2.4
"3125","Algeria","X1991",0.06
"3128","Angola","X1991",0.8
"3131","Argentina","X1991",0.3
"3132","Armenia","X1991",0.06
"3134","Australia","X1991",0.1
"3135","Austria","X1991",0.06
"3136","Azerbaijan","X1991",0.06
"3137","Bahamas","X1991",3.8
"3139","Bangladesh","X1991",0.06
"3140","Barbados","X1991",0.06
"3141","Belarus","X1991",0.06
"3142","Belgium","X1991",0.1
"3143","Belize","X1991",0.7
"3144","Benin","X1991",0.4
"3146","Bhutan","X1991",0.06
"3147","Bolivia","X1991",0.1
"3149","Botswana","X1991",5.1
"3150","Brazil","X1991",0.45
"3153","Bulgaria","X1991",0.06
"3154","Burkina Faso","X1991",4
"3155","Burundi","X1991",4.5
"3156","Cambodia","X1991",0.8
"3157","Cameroon","X1991",1
"3158","Canada","X1991",0.2
"3161","Central African Republic","X1991",4.6
"3162","Chad","X1991",1.3
"3164","Chile","X1991",0.06
"3168","Colombia","X1991",0.3
"3169","Comoros","X1991",0.06
"3171","Congo, Rep.","X1991",5.2
"3173","Costa Rica","X1991",0.06
"3174","Croatia","X1991",0.06
"3175","Cuba","X1991",0.06
"3177","Czech Republic","X1991",0.06
"3179","Denmark","X1991",0.06
"3180","Djibouti","X1991",1.1
"3182","Dominican Republic","X1991",0.5
"3184","Ecuador","X1991",0.4
"3185","Egypt","X1991",0.06
"3186","El Salvador","X1991",0.2
"3187","Equatorial Guinea","X1991",0.2
"3188","Eritrea","X1991",0.4
"3190","Estonia","X1991",0.06
"3194","Fiji","X1991",0.06
"3195","Finland","X1991",0.06
"3196","France","X1991",0.3
"3199","Gabon","X1991",1.2
"3200","Gambia","X1991",0.1
"3201","Georgia","X1991",0.06
"3202","Germany","X1991",0.1
"3203","Ghana","X1991",0.4
"3205","Greece","X1991",0.1
"3210","Guatemala","X1991",0.1
"3212","Guinea","X1991",1.3
"3213","Guinea-Bissau","X1991",0.3
"3214","Guyana","X1991",2.7
"3215","Haiti","X1991",1.6
"3217","Honduras","X1991",1.2
"3219","Hungary","X1991",0.1
"3220","Iceland","X1991",0.06
"3221","India","X1991",0.1
"3222","Indonesia","X1991",0.06
"3223","Iran","X1991",0.06
"3225","Ireland","X1991",0.06
"3227","Israel","X1991",0.1
"3228","Italy","X1991",0.3
"3229","Jamaica","X1991",2.2
"3230","Japan","X1991",0.06
"3233","Kazakhstan","X1991",0.06
"3234","Kenya","X1991",5.4
"3237","South Korea","X1991",0.06
"3241","Kyrgyz Republic","X1991",0.06
"3242","Lao","X1991",0.06
"3243","Latvia","X1991",0.06
"3244","Lebanon","X1991",0.06
"3245","Lesotho","X1991",1.7
"3246","Liberia","X1991",0.5
"3249","Lithuania","X1991",0.06
"3250","Luxembourg","X1991",0.1
"3253","Madagascar","X1991",0.2
"3254","Malawi","X1991",8.8
"3255","Malaysia","X1991",0.1
"3256","Maldives","X1991",0.06
"3257","Mali","X1991",0.6
"3258","Malta","X1991",0.06
"3261","Mauritania","X1991",0.2
"3262","Mauritius","X1991",0.1
"3264","Mexico","X1991",0.4
"3266","Moldova","X1991",0.1
"3268","Mongolia","X1991",0.06
"3271","Morocco","X1991",0.06
"3272","Mozambique","X1991",1.6
"3273","Myanmar","X1991",0.3
"3274","Namibia","X1991",2.2
"3276","Nepal","X1991",0.3
"3277","Netherlands","X1991",0.1
"3280","New Zealand","X1991",0.1
"3282","Nicaragua","X1991",0.06
"3283","Niger","X1991",0.1
"3284","Nigeria","X1991",2.2
"3289","Norway","X1991",0.06
"3290","Oman","X1991",0.06
"3291","Pakistan","X1991",0.06
"3293","Panama","X1991",0.3
"3294","Papua New Guinea","X1991",0.06
"3295","Paraguay","X1991",0.1
"3296","Peru","X1991",0.4
"3297","Philippines","X1991",0.06
"3299","Poland","X1991",0.06
"3300","Portugal","X1991",0.1
"3302","Qatar","X1991",0.06
"3304","Romania","X1991",0.06
"3305","Russia","X1991",0.06
"3306","Rwanda","X1991",5.2
"3318","Senegal","X1991",0.2
"3319","Serbia","X1991",0.1
"3323","Sierra Leone","X1991",0.06
"3324","Singapore","X1991",0.06
"3325","Slovak Republic","X1991",0.06
"3326","Slovenia","X1991",0.06
"3328","Somalia","X1991",0.1
"3330","South Africa","X1991",1.2
"3332","Spain","X1991",0.4
"3333","Sri Lanka","X1991",0.06
"3334","Sudan","X1991",0.1
"3335","Suriname","X1991",0.2
"3337","Swaziland","X1991",3.2
"3338","Sweden","X1991",0.1
"3339","Switzerland","X1991",0.2
"3342","Tajikistan","X1991",0.06
"3343","Tanzania","X1991",5.7
"3344","Thailand","X1991",1.5
"3346","Togo","X1991",0.8
"3350","Trinidad and Tobago","X1991",0.3
"3351","Tunisia","X1991",0.06
"3352","Turkey","X1991",0.06
"3356","Uganda","X1991",10.7
"3357","Ukraine","X1991",0.2
"3359","United Kingdom","X1991",0.1
"3360","United States","X1991",0.5
"3361","Uruguay","X1991",0.1
"3363","Uzbekistan","X1991",0.06
"3370","Vietnam","X1991",0.06
"3376","Zambia","X1991",13.6
"3377","Zimbabwe","X1991",13.6
"3380","Cote dIvoire","X1991",3.3
"3385","Algeria","X1992",0.06
"3388","Angola","X1992",1
"3391","Argentina","X1992",0.3
"3392","Armenia","X1992",0.06
"3394","Australia","X1992",0.1
"3395","Austria","X1992",0.06
"3396","Azerbaijan","X1992",0.06
"3397","Bahamas","X1992",3.9
"3399","Bangladesh","X1992",0.06
"3400","Barbados","X1992",0.1
"3401","Belarus","X1992",0.06
"3402","Belgium","X1992",0.1
"3403","Belize","X1992",1
"3404","Benin","X1992",0.5
"3406","Bhutan","X1992",0.06
"3407","Bolivia","X1992",0.2
"3409","Botswana","X1992",7.3
"3410","Brazil","X1992",0.45
"3413","Bulgaria","X1992",0.06
"3414","Burkina Faso","X1992",3.9
"3415","Burundi","X1992",5.1
"3416","Cambodia","X1992",1
"3417","Cameroon","X1992",1.6
"3418","Canada","X1992",0.2
"3421","Central African Republic","X1992",6.3
"3422","Chad","X1992",1.5
"3424","Chile","X1992",0.1
"3428","Colombia","X1992",0.4
"3429","Comoros","X1992",0.06
"3431","Congo, Rep.","X1992",5
"3433","Costa Rica","X1992",0.06
"3434","Croatia","X1992",0.06
"3435","Cuba","X1992",0.06
"3437","Czech Republic","X1992",0.06
"3439","Denmark","X1992",0.06
"3440","Djibouti","X1992",1.4
"3442","Dominican Republic","X1992",0.6
"3444","Ecuador","X1992",0.4
"3445","Egypt","X1992",0.06
"3446","El Salvador","X1992",0.2
"3447","Equatorial Guinea","X1992",0.2
"3448","Eritrea","X1992",0.6
"3450","Estonia","X1992",0.06
"3454","Fiji","X1992",0.06
"3455","Finland","X1992",0.06
"3456","France","X1992",0.3
"3459","Gabon","X1992",1.6
"3460","Gambia","X1992",0.1
"3461","Georgia","X1992",0.06
"3462","Germany","X1992",0.1
"3463","Ghana","X1992",0.7
"3465","Greece","X1992",0.1
"3470","Guatemala","X1992",0.1
"3472","Guinea","X1992",1.5
"3473","Guinea-Bissau","X1992",0.4
"3474","Guyana","X1992",2.6
"3475","Haiti","X1992",2.3
"3477","Honduras","X1992",1.4
"3479","Hungary","X1992",0.1
"3480","Iceland","X1992",0.1
"3481","India","X1992",0.1
"3482","Indonesia","X1992",0.06
"3483","Iran","X1992",0.06
"3485","Ireland","X1992",0.1
"3487","Israel","X1992",0.1
"3488","Italy","X1992",0.3
